MaStR-Nr. der Stromerzeugungseinheit,Anzeige-Name der Stromerzeugungseinheit,Bundesland der Einheit,Auswertung Energieträger,Bruttoleistung in MW,Nettonennleistung (elektrische Wirkleistung) in MW,Volleinspeisung oder Teileinspeisung?,Anschlussnetzbetreiber,Spannungsebene
SEE923480872250,PSW Geesthacht PSS B,Schleswig-Holstein,Pumpspeicher,40,39.7,Volleinspeisung,Hamburger Energienetze GmbH (SNB968295079586),Hochspannung
SEE966988528885,PSW Geesthacht PSS C,Schleswig-Holstein,Pumpspeicher,40,39.7,Volleinspeisung,Hamburger Energienetze GmbH (SNB968295079586),Hochspannung
SEE968091522767,PSW Hohenwarte 2 PSS A,Thüringen,Pumpspeicher,40,39.7,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE902382668932,PSW Hohenwarte 2 PSS B,Thüringen,Pumpspeicher,40,39.7,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE918037222657,PSW Hohenwarte 2 PSS C,Thüringen,Pumpspeicher,40,39.7,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE961899492454,PSW Hohenwarte 2 PSS D,Thüringen,Pumpspeicher,40,39.7,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE933745405604,PSW Hohenwarte 2 PSS E,Thüringen,Pumpspeicher,40,39.7,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE992738364885,PSW Hohenwarte 2 PSS F,Thüringen,Pumpspeicher,40,39.7,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE987143958569,PSW Hohenwarte 2 PSS G,Thüringen,Pumpspeicher,40,39.7,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE900610669775,PSW Hohenwarte 2 PSS H,Thüringen,Pumpspeicher,40,39.7,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE9-Dummy-EEG,,Saarland,Grubengas,39.22,39.7,,,
SEE976880282228,HKW Sandreuth (DT2),Bayern,Erdgas,44.45,39.5,Volleinspeisung,N-ERGIE Netz GmbH (SNB973875583315),Umspannebene Hochspannung/Mittelspannung
