MaStR-Nr. der Stromerzeugungseinheit,Anzeige-Name der Stromerzeugungseinheit,Bundesland der Einheit,Auswertung Energieträger,Bruttoleistung in MW,Nettonennleistung (elektrische Wirkleistung) in MW,Volleinspeisung oder Teileinspeisung?,Anschlussnetzbetreiber,Spannungsebene
BNA0799,Heizkraftwerk Pforzheim GmbH,Baden-Württemberg,Erdgas,,11.3,,Stadtwerke Pforzheim GmbH und Co. KG,Hochspannung (HS)
SEE923959807806,Turbine 3,Baden-Württemberg,Abfall,11.3,11.14,Teileinspeisung (einschließlich Eigenverbrauch),MVV Netze GmbH (SNB985472799266),Mittelspannung
SEE902796244388,Turbine 4,Niedersachsen,Erdgas,14,11,Teileinspeisung (einschließlich Eigenverbrauch),Überlandwerk Leinetal GmbH (SNB910956210043),Mittelspannung
SEE971280976463,MHKW Turbine,Baden-Württemberg,Abfall,13.2,11,Volleinspeisung,Energieversorgung Filstal GmbH & Co. KG (SNB910995561328),Mittelspannung
SEE974059990561,AHKW-Neunkirchen Turbine 5,Saarland,Abfall,13.5,11,Teileinspeisung (einschließlich Eigenverbrauch),KEW Kommunale Energie- und Wasserversorgung AG (SNB943841101959); Creos Deutschland GmbH (SNB940133714842),Mittelspannung; Mittelspannung
BNA0255,HKW Iderhoffstraße,Thüringen,Erdgas,,11,,SWE Netz GmbH (Erfurt),10
SEE997722783727,Dornau K1,Bayern,Wasser,12,10.945,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Mittelspannung
SEE950981928360,TG4,Niedersachsen,Erdgas,10.9,10.9,Teileinspeisung (einschließlich Eigenverbrauch),Westnetz GmbH (SNB921897286493),Hochspannung
SEE908293161302,Dampfturbine 7,Rheinland-Pfalz,Erdgas,10.8,10.8,Teileinspeisung (einschließlich Eigenverbrauch),Pfalzwerke Netz AG (SNB961471621746),Mittelspannung
SEE912008346410,Dampfturbine,Baden-Württemberg,Wärme,10.8,10.8,,Netze BW GmbH (SNB948311994307),Mittelspannung
SEE900664653232,Turbine 1,Nordrhein-Westfalen,Abfall,13,10.7,Teileinspeisung (einschließlich Eigenverbrauch),Stadtwerke Iserlohn GmbH (SNB913730249284),Mittelspannung
SEE921830733190,BMHKW Malchin DT,Mecklenburg-Vorpommern,Biomasse,10.626,10.626,Volleinspeisung,E.DIS Netz GmbH (SNB941690671609),Mittelspannung
SEE964170331206,MHKW Coburg,Bayern,Abfall,12.5,10.6,Teileinspeisung (einschließlich Eigenverbrauch),SÜC Energie und H²O GmbH (SNB968862623211),Mittelspannung
SEE998909352200,EA-46950,Niedersachsen,Biomasse,11.656,10.6,Volleinspeisung,Westnetz GmbH (SNB921897286493),Umspannebene Hochspannung/Mittelspannung
SEE908964165929,T-DT,Thüringen,Erdgas,10.5,10.5,Volleinspeisung,SWE Netz GmbH (Erfurt) (SNB950262883869),Hochspannung
SEE907030791383,BMHKW der ESWE BioEnergie,Hessen,Biomasse,11.4,10.5,Teileinspeisung (einschließlich Eigenverbrauch),Stadtwerke Wiesbaden Netz GmbH (SNB950584553167),Mittelspannung
SEE905804223849,KW Laufenburg Maschine 1,Schweiz,Wasser,10.6,10.442,Teileinspeisung (einschließlich Eigenverbrauch),naturenergie netze GmbH (SNB945502201350),Hochspannung
SEE925074451797,KW Laufenburg Maschine 10,Schweiz,Wasser,10.6,10.442,Teileinspeisung (einschließlich Eigenverbrauch),naturenergie netze GmbH (SNB945502201350),Hochspannung
SEE910013400721,KW Laufenburg Maschine 2,Schweiz,Wasser,10.6,10.442,Volleinspeisung,naturenergie netze GmbH (SNB945502201350),Hochspannung
SEE973556997929,KW Laufenburg Maschine 3,Schweiz,Wasser,10.6,10.442,Volleinspeisung,naturenergie netze GmbH (SNB945502201350),Hochspannung
SEE902489482608,KW Laufenburg Maschine 4,Schweiz,Wasser,10.6,10.442,Volleinspeisung,naturenergie netze GmbH (SNB945502201350),Hochspannung
SEE994853801559,KW Laufenburg Maschine 5,Schweiz,Wasser,10.6,10.442,Volleinspeisung,naturenergie netze GmbH (SNB945502201350),Hochspannung
SEE991332001752,KW Laufenburg Maschine 6,Schweiz,Wasser,10.6,10.442,Volleinspeisung,naturenergie netze GmbH (SNB945502201350),Hochspannung
SEE947227591686,KW Laufenburg Maschine 7,Schweiz,Wasser,10.6,10.442,Volleinspeisung,naturenergie netze GmbH (SNB945502201350),Hochspannung
SEE949717053087,KW Laufenburg Maschine 8,Schweiz,Wasser,10.6,10.442,Volleinspeisung,naturenergie netze GmbH (SNB945502201350),Hochspannung
SEE981577033014,KW Laufenburg Maschine 9,Schweiz,Wasser,10.6,10.442,Volleinspeisung,naturenergie netze GmbH (SNB945502201350),Hochspannung
SEE971995083203,BHKW Braunschweig,Niedersachsen,Erdgas,10.5,10.4,Teileinspeisung (einschließlich Eigenverbrauch),Braunschweiger Netz GmbH (SNB926644622999),Hochspannung
SEE929865645150,Turbine 24,Nordrhein-Westfalen,Sonstige Energieträger (nicht erneuerbar),10.4,10.4,Teileinspeisung (einschließlich Eigenverbrauch),NETCUR GmbH (SNB974711150357),Umspannebene Hochspannung/Mittelspannung
SEE961057667205,Gasturbine Kraftwerk,Hessen,Erdgas,11.2,10.37,Teileinspeisung (einschließlich Eigenverbrauch),e-netz Südhessen AG (SNB956958990736),Mittelspannung
SEE999705546763,Dampfturbine III Südzucker Rain,Bayern,Wärme,11,10.36,Teileinspeisung (einschließlich Eigenverbrauch),LEW Verteilnetz GmbH (SNB911705062982),Umspannebene Mittelspannung/Niederspannung
SEE946069613440,HKW FFO GM1,Brandenburg,Erdgas,10.423,10.3584,Teileinspeisung (einschließlich Eigenverbrauch),Netzgesellschaft Frankfurt (Oder) mbH (SNB954814647626),Umspannebene Hochspannung/Mittelspannung
SEE969511682320,HKW FFO GM2,Brandenburg,Erdgas,10.423,10.3584,Teileinspeisung (einschließlich Eigenverbrauch),Netzgesellschaft Frankfurt (Oder) mbH (SNB954814647626),Umspannebene Hochspannung/Mittelspannung
SEE937997291855,HKW FFO GM3,Brandenburg,Erdgas,10.423,10.3584,Teileinspeisung (einschließlich Eigenverbrauch),Netzgesellschaft Frankfurt (Oder) mbH (SNB954814647626),Umspannebene Hochspannung/Mittelspannung
SEE900549498521,HKW FFO GM4,Brandenburg,Erdgas,10.423,10.3584,Teileinspeisung (einschließlich Eigenverbrauch),Netzgesellschaft Frankfurt (Oder) mbH (SNB954814647626),Umspannebene Hochspannung/Mittelspannung
SEE939848582457,HKW FFO GM5,Brandenburg,Erdgas,10.423,10.3584,Teileinspeisung (einschließlich Eigenverbrauch),Netzgesellschaft Frankfurt (Oder) mbH (SNB954814647626),Umspannebene Hochspannung/Mittelspannung
SEE982806373970,Batterie Eisenach,Thüringen,Batteriespeicher,10.35,10.35,Volleinspeisung,TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712),Mittelspannung
SEE930847992643,PES Ohrdruf,Thüringen,Batteriespeicher,10.35,10.35,Volleinspeisung,TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712),Mittelspannung
SEE964717210810,Generator 3,Hessen,Erdgas,10.573,10.323,Volleinspeisung,InfraServ GmbH & Co. Wiesbaden KG (SNB960884494671),Mittelspannung
SEE975793104498,GM4,Bayern,Erdgas,10.387,10.283,Teileinspeisung (einschließlich Eigenverbrauch),Stadtwerke Rosenheim Netze GmbH (SNB988838479086),Mittelspannung
SEE957686843929,Turbine 1,Hessen,Abfall,10.56,10.222,Teileinspeisung (einschließlich Eigenverbrauch),e-netz Südhessen AG (SNB956958990736),Mittelspannung
SEE926982393704,BHKW 10,Berlin,Erdgas,10.31,10.208,Volleinspeisung,Stromnetz Berlin GmbH (SNB979269087643),Mittelspannung
SEE977368296324,MOT 1,Baden-Württemberg,Erdgas,10.387,10.2,Teileinspeisung (einschließlich Eigenverbrauch),SWP Stadtwerke Pforzheim GmbH & Co. KG (SNB929168402344),Hochspannung
SEE914740925915,MOT 2,Baden-Württemberg,Erdgas,10.387,10.2,Teileinspeisung (einschließlich Eigenverbrauch),SWP Stadtwerke Pforzheim GmbH & Co. KG (SNB929168402344),Hochspannung
SEE956308510836,MOT 3,Baden-Württemberg,Erdgas,10.387,10.2,Teileinspeisung (einschließlich Eigenverbrauch),SWP Stadtwerke Pforzheim GmbH & Co. KG (SNB929168402344),Hochspannung
SEE963197749315,MOT 4,Baden-Württemberg,Erdgas,10.387,10.2,Teileinspeisung (einschließlich Eigenverbrauch),SWP Stadtwerke Pforzheim GmbH & Co. KG (SNB929168402344),Hochspannung
SEE976252866650,MOT 5,Baden-Württemberg,Erdgas,10.387,10.2,Teileinspeisung (einschließlich Eigenverbrauch),SWP Stadtwerke Pforzheim GmbH & Co. KG (SNB929168402344),Hochspannung
SEE956216040883,Turbine 2,Bayern,Steinkohle,11.8,10.2,Teileinspeisung (einschließlich Eigenverbrauch),Stadtwerke Schweinfurt GmbH (SNB922811950100),Mittelspannung
SEE960254517375,TG6,Niedersachsen,Erdgas,10.1,10.1,Teileinspeisung (einschließlich Eigenverbrauch),Westnetz GmbH (SNB921897286493),Hochspannung
SEE901602471161,Alzwerk Maschine 1,Bayern,Wasser,10.08,10.08,Teileinspeisung (einschließlich Eigenverbrauch),Bayernwerk Netz GmbH (SNB940352624434),Mittelspannung
SEE913911815888,Alzwerk Maschine 2,Bayern,Wasser,10.08,10.08,Teileinspeisung (einschließlich Eigenverbrauch),Bayernwerk Netz GmbH (SNB940352624434),Mittelspannung
SEE959377024433,Alzwerk Maschine 3,Bayern,Wasser,10.08,10.08,Teileinspeisung (einschließlich Eigenverbrauch),Bayernwerk Netz GmbH (SNB940352624434),Mittelspannung
SEE979257485857,Alzwerk Maschine 4,Bayern,Wasser,10.08,10.08,Teileinspeisung (einschließlich Eigenverbrauch),Bayernwerk Netz GmbH (SNB940352624434),Mittelspannung
SEE925023182710,Alzwerk Maschine 5,Bayern,Wasser,10.08,10.08,Teileinspeisung (einschließlich Eigenverbrauch),Bayernwerk Netz GmbH (SNB940352624434),Mittelspannung
SEE901246020381,Gasmotor Bad Salzungen,Thüringen,Erdgas,10.051,10.003,Volleinspeisung,TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712),Mittelspannung
SEE996047653111,"KW TRB Bitterfeld, Bitterfeld-Wolfen, Oststr. 1",Sachsen-Anhalt,Abfall,11.44,10,Teileinspeisung (einschließlich Eigenverbrauch),Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931),Mittelspannung
SEE977720016904,Batterie Breitenworbis,Thüringen,Batteriespeicher,10,10,Volleinspeisung,TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712),Mittelspannung
SEE942752513288,DT1,Nordrhein-Westfalen,Biomasse,10,10,Teileinspeisung (einschließlich Eigenverbrauch),Westnetz GmbH (SNB921897286493),Umspannebene Hochspannung/Mittelspannung
SEE910102553963,Gasturbinenanlage Castrop-Rauxel,Nordrhein-Westfalen,Erdgas,10.3,10,Teileinspeisung (einschließlich Eigenverbrauch),Westnetz GmbH (SNB921897286493),Mittelspannung
SEE961620762023,DA_HKW_01,Hessen,Erdgas,10.3,10,Teileinspeisung (einschließlich Eigenverbrauch),e-netz Südhessen AG (SNB956958990736),Mittelspannung
SEE933265744528,Hemfurth F1,Hessen,Wasser,10,10,Volleinspeisung,Avacon Netz GmbH (SNB990362338043),Hochspannung
SEE909400381729,Hemfurth F2,Hessen,Wasser,10,10,Volleinspeisung,Avacon Netz GmbH (SNB990362338043),Hochspannung
SEE996128400061,Haupthaus,Bayern,Batteriespeicher,10,10,Teileinspeisung (einschließlich Eigenverbrauch),Bayernwerk Netz GmbH (SNB940352624434),Niederspannung (= Hausanschluss/Haushaltsstrom)
SEE931375347240,SMAREG 1,Thüringen,Batteriespeicher,10,10,Volleinspeisung,TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712),Mittelspannung
SEE933714674710,Kraftwerk GRI,Bayern,Erdgas,10,10,Teileinspeisung (einschließlich Eigenverbrauch),Bayernwerk Netz GmbH (SNB940352624434),Hochspannung
SEE937857006797,WBS-Tarzow,Mecklenburg-Vorpommern,Batteriespeicher,10,10,Volleinspeisung,WEMAG Netz GmbH (SNB928759560869),Hochspannung
SEE907524301289,T/G 15,Nordrhein-Westfalen,Mineralölprodukte,12,10,Teileinspeisung (einschließlich Eigenverbrauch),OQ Services GmbH (SNB985069443664),Mittelspannung
SEE908106126436,Sungrow Schlagresdorf,Mecklenburg-Vorpommern,Batteriespeicher,10,10,Teileinspeisung (einschließlich Eigenverbrauch),WEMAG Netz GmbH (SNB928759560869),Niederspannung (= Hausanschluss/Haushaltsstrom)
SEE900838448145,MKW SAD Turbine 3,Bayern,Abfall,10,10,Volleinspeisung,Bayernwerk Netz GmbH (SNB940352624434),Umspannebene Höchstspannung/Hochspannung
SEE955292024220,MKW SAD Turbine 4,Bayern,Abfall,10,10,Volleinspeisung,Bayernwerk Netz GmbH (SNB940352624434),Umspannebene Höchstspannung/Hochspannung
SEE976927444749,RRKW Feldheim,Brandenburg,Batteriespeicher,10,10,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Höchstspannung
SEE9-Dummy-EEG,,Bremen,Wasser,10,10,,,
SEE922581598120,HKW - DT1,Bayern,Erdgas,10.2,9.963,Volleinspeisung,Erlanger Stadtwerke AG (SNB967982606159),Mittelspannung
SEE951582148140,BHKW KW5 51,Rheinland-Pfalz,Erdgas,10.02,9.93,Teileinspeisung (einschließlich Eigenverbrauch),Mainzer Netze GmbH (SNB959523885956),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE983509659989,BHKW KW5 52,Rheinland-Pfalz,Erdgas,10.02,9.93,Teileinspeisung (einschließlich Eigenverbrauch),Mainzer Netze GmbH (SNB959523885956),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE964290104919,BHKW KW5 53,Rheinland-Pfalz,Erdgas,10.02,9.93,Teileinspeisung (einschließlich Eigenverbrauch),Mainzer Netze GmbH (SNB959523885956),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE920825895844,BHKW KW5 54,Rheinland-Pfalz,Erdgas,10.02,9.93,Teileinspeisung (einschließlich Eigenverbrauch),Mainzer Netze GmbH (SNB959523885956),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE979557966681,BHKW KW5 55,Rheinland-Pfalz,Erdgas,10.02,9.93,Teileinspeisung (einschließlich Eigenverbrauch),Mainzer Netze GmbH (SNB959523885956),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE945401341942,BHKW KW5 56,Rheinland-Pfalz,Erdgas,10.02,9.93,Teileinspeisung (einschließlich Eigenverbrauch),Mainzer Netze GmbH (SNB959523885956),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE997770651436,BHKW KW5 57,Rheinland-Pfalz,Erdgas,10.02,9.93,Teileinspeisung (einschließlich Eigenverbrauch),Mainzer Netze GmbH (SNB959523885956),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE966089822219,BHKW KW5 58,Rheinland-Pfalz,Erdgas,10.02,9.93,Teileinspeisung (einschließlich Eigenverbrauch),Mainzer Netze GmbH (SNB959523885956),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE945569399960,BHKW KW5 59,Rheinland-Pfalz,Erdgas,10.02,9.93,Teileinspeisung (einschließlich Eigenverbrauch),Mainzer Netze GmbH (SNB959523885956),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE916830465356,BHKW KW5 5A,Rheinland-Pfalz,Erdgas,10.02,9.93,Teileinspeisung (einschließlich Eigenverbrauch),Mainzer Netze GmbH (SNB959523885956),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE986936308987,KWK-Anlage: Generator 1,Nordrhein-Westfalen,Braunkohle,11,9.9,Teileinspeisung (einschließlich Eigenverbrauch),Westnetz GmbH (SNB921897286493),Mittelspannung
SEE975343602986,KWK-Anlage: Generator 2,Nordrhein-Westfalen,Braunkohle,11,9.9,Teileinspeisung (einschließlich Eigenverbrauch),Westnetz GmbH (SNB921897286493),Mittelspannung
SEE960158091162,T3,Saarland,Wärme,13,9.9,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486); VSE Verteilnetz GmbH (SNB941650885558),Höchstspannung; Hochspannung
SEE909727831365,Gasturbine Bad Salzungen,Thüringen,Erdgas,10.005,9.829,Volleinspeisung,TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712),Mittelspannung
SEE920672219015,Generator 5,Niedersachsen,Braunkohle,16.5,9.8,Teileinspeisung (einschließlich Eigenverbrauch),SWO Netz GmbH (SNB943662886851),Mittelspannung
SEE944995057840,Gasturbine,Sachsen,Erdgas,10,9.8,Teileinspeisung (einschließlich Eigenverbrauch),Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931),Mittelspannung
SEE994210380116,Kombi-HKW DT,Hessen,Erdgas,9.83,9.76,Volleinspeisung,Städtische Werke Netz+Service GmbH (SNB935482852901),Hochspannung
SEE970551575312,Biomasseheizkraftwerk Unterbernbach,Bayern,Biomasse,9.76,9.76,Teileinspeisung (einschließlich Eigenverbrauch),Bayernwerk Netz GmbH (SNB940352624434),Umspannebene Hochspannung/Mittelspannung
SEE953235539855,Heizkraftwerk Stuttgart-Gaisburg HKW 3 Motor 1,Baden-Württemberg,Erdgas,10.295,9.717,Teileinspeisung (einschließlich Eigenverbrauch),Stuttgart Netze GmbH (SNB947592865054),Hochspannung; Hochspannung
SEE974615285285,Heizkraftwerk Stuttgart-Gaisburg HKW 3 Motor 2,Baden-Württemberg,Erdgas,10.295,9.717,Teileinspeisung (einschließlich Eigenverbrauch),Stuttgart Netze GmbH (SNB947592865054),Hochspannung; Hochspannung
SEE972346658903,Heizkraftwerk Stuttgart-Gaisburg HKW 3 Motor 3,Baden-Württemberg,Erdgas,10.295,9.717,Teileinspeisung (einschließlich Eigenverbrauch),Stuttgart Netze GmbH (SNB947592865054),Hochspannung; Hochspannung
SEE976945777003,KWK Baruth,Brandenburg,Biomasse,10.205,9.7,Volleinspeisung,E.DIS Netz GmbH (SNB941690671609),Mittelspannung
SEE953266686481,T2,Schleswig-Holstein,Steinkohle,12.8,9.545,Teileinspeisung (einschließlich Eigenverbrauch),Schleswig-Holstein Netz GmbH (SNB990857029876),Mittelspannung
SEE958519166192,ET HO4,Saarland,Sonstige Energieträger (nicht erneuerbar),9.52,9.52,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486); VSE Verteilnetz GmbH (SNB941650885558),Höchstspannung; Hochspannung
SEE904017020009,ET HO5,Saarland,Sonstige Energieträger (nicht erneuerbar),9.52,9.52,Teileinspeisung (einschließlich Eigenverbrauch),Amprion GmbH (SNB976890256486); VSE Verteilnetz GmbH (SNB941650885558),Höchstspannung; Hochspannung
SEE987252656561,HKW Schwarza Dampfturbosatz,Thüringen,Wärme,9.65,9.51,Volleinspeisung,,
SEE957488519732,MM Neuss GmbH DT,Nordrhein-Westfalen,Erdgas,10.5,9.5,Teileinspeisung (einschließlich Eigenverbrauch),Westnetz GmbH (SNB921897286493),Umspannebene Hochspannung/Mittelspannung
SEE951839779134,Küstenkraftwerk K.I.E.L Motor 1,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE985206646330,Küstenkraftwerk K.I.E.L Motor 10,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE916115669219,Küstenkraftwerk K.I.E.L Motor 11,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE953574430066,Küstenkraftwerk K.I.E.L Motor 12,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE905939296770,Küstenkraftwerk K.I.E.L Motor 13,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE963125615224,Küstenkraftwerk K.I.E.L Motor 14,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE941552924256,Küstenkraftwerk K.I.E.L Motor 15,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE937791832391,Küstenkraftwerk K.I.E.L Motor 16,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE932569905017,Küstenkraftwerk K.I.E.L Motor 17,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE979353792927,Küstenkraftwerk K.I.E.L Motor 18,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE994826833730,Küstenkraftwerk K.I.E.L Motor 19,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE918583974024,Küstenkraftwerk K.I.E.L Motor 2,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE987324322059,Küstenkraftwerk K.I.E.L Motor 20,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE939823727910,Küstenkraftwerk K.I.E.L Motor 3,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE904076796426,Küstenkraftwerk K.I.E.L Motor 4,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE940475173918,Küstenkraftwerk K.I.E.L Motor 5,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE967544153657,Küstenkraftwerk K.I.E.L Motor 6,Schleswig-Holstein,Erdgas,9.571,9.456,Teileinspeisung (einschließlich Eigenverbrauch),SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE921059219284,Küstenkraftwerk K.I.E.L Motor 7,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE934242259776,Küstenkraftwerk K.I.E.L Motor 8,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE916435406600,Küstenkraftwerk K.I.E.L Motor 9,Schleswig-Holstein,Erdgas,9.571,9.456,Volleinspeisung,SWKiel Netz GmbH (SNB973742186519),Hochspannung
SEE909373287806,Heizkraftwerk Altenstadt,Bayern,Biomasse,10.8,9.4,Teileinspeisung (einschließlich Eigenverbrauch),LEW Verteilnetz GmbH (SNB911705062982),Mittelspannung
SEE908238702164,Turboeinheit 1 Dampfturbine 60 t Gen 10 MW,Berlin,Erdgas,9.8,9.4,Teileinspeisung (einschließlich Eigenverbrauch),Stromnetz Berlin GmbH (SNB979269087643),Hochspannung
SEE921479798321,Generator C,Nordrhein-Westfalen,Abfall,9.376,9.376,Teileinspeisung (einschließlich Eigenverbrauch),WSW Netz GmbH (SNB914306944756),Hochspannung
SEE972466462527,Dampfturbine - GuD MPE,Nordrhein-Westfalen,Erdgas,9.45,9.35,Teileinspeisung (einschließlich Eigenverbrauch),Bielefelder Netz GmbH (SNB918516395612),Hochspannung
SEE985220684011,Kraftwerk SI DT2,Niedersachsen,Wärme,9.439,9.3,Teileinspeisung (einschließlich Eigenverbrauch),Avacon Netz GmbH (SNB990362338043),Mittelspannung
SEE916437209445,Boehringer Ingelheim - 2334 - K7/T6,Rheinland-Pfalz,Erdgas,10,9.25,Teileinspeisung (einschließlich Eigenverbrauch),Rheinhessische Energie- und Wasserversorgungs-GmbH (SNB912239808732),Mittelspannung
SEE929198153032,Rheinfelden Gasturbine,Baden-Württemberg,Erdgas,9.8,9.25,Teileinspeisung (einschließlich Eigenverbrauch),naturenergie netze GmbH (SNB945502201350),Hochspannung
SEE992607731794,Turbine 4,Nordrhein-Westfalen,Abfall,13.84,9.23,Teileinspeisung (einschließlich Eigenverbrauch),NGN Netzgesellschaft Niederrhein mbH (SNB911144461377),Umspannebene Hochspannung/Mittelspannung
SEE900758207372,HKW Wiesengrund,Thüringen,Erdgas,9.2,9.2,Teileinspeisung (einschließlich Eigenverbrauch),TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712),Mittelspannung
SEE974018310478,Generator 4,Niedersachsen,Braunkohle,11.25,9.2,Teileinspeisung (einschließlich Eigenverbrauch),SWO Netz GmbH (SNB943662886851),Mittelspannung
SEE946665101624,KWK-0001,Nordrhein-Westfalen,Erdgas,9.2,9.2,Volleinspeisung,,Mittelspannung
SEE988558018985,KesselH,Nordrhein-Westfalen,Biomasse,9.18,9.18,Volleinspeisung,Westnetz GmbH (SNB921897286493),Umspannebene Hochspannung/Mittelspannung
SEE966264899036,FHKW DT5,Rheinland-Pfalz,Abfall,10,9.14432,Teileinspeisung (einschließlich Eigenverbrauch),TWL Netze GmbH (SNB935578300972),Mittelspannung
SEE908200741672,BES LRB 2,Sachsen,Batteriespeicher,9.125,9.125,Volleinspeisung,Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931),Mittelspannung
SEE947763810036,HuR-IKW-G5,Niedersachsen,Erdgas,9.296,9.029,Teileinspeisung (einschließlich Eigenverbrauch),Westnetz GmbH (SNB921897286493),Mittelspannung
SEE922877375398,GuD Anlage GT,Sachsen,Erdgas,9.023,9.023,Teileinspeisung (einschließlich Eigenverbrauch),Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931),Mittelspannung
SEE956631893736,F03G1,Nordrhein-Westfalen,Erdgas,10,9,Teileinspeisung (einschließlich Eigenverbrauch),Netzgesellschaft Düsseldorf mbH (SNB933956506145),Mittelspannung
SEE906074606738,Eitting D F1,Bayern,Wasser,9,9,Volleinspeisung,Bayernwerk Netz GmbH (SNB940352624434),Umspannebene Hochspannung/Mittelspannung
SEE956908340703,Eitting D F2,Bayern,Wasser,9,9,Volleinspeisung,Bayernwerk Netz GmbH (SNB940352624434),Umspannebene Hochspannung/Mittelspannung
SEE937685363109,Eitting E F1,Bayern,Wasser,9,9,Volleinspeisung,"DB Energie GmbH (Bahnstromnetz 16,7 Hz) (SNB942182027607)",Hochspannung
SEE902444234136,Eitting E F2,Bayern,Wasser,9,9,Volleinspeisung,"DB Energie GmbH (Bahnstromnetz 16,7 Hz) (SNB942182027607)",Hochspannung
SEE923412553844,GuD Anlage DREWSEN Spezialpapiere (Dampfturbine),Niedersachsen,Erdgas,9.28,9,Teileinspeisung (einschließlich Eigenverbrauch),Avacon Netz GmbH (SNB990362338043),Hochspannung; Hochspannung; Hochspannung
SEE974949152857,Batteriespeicher,Rheinland-Pfalz,Batteriespeicher,9,9,Teileinspeisung (einschließlich Eigenverbrauch),TWL Netze GmbH (SNB935578300972),Mittelspannung
SEE900963630248,Aufkirchen D F1,Bayern,Wasser,9,9,Volleinspeisung,Bayernwerk Netz GmbH (SNB940352624434),Hochspannung
SEE980892645759,Aufkirchen D F2,Bayern,Wasser,9,9,Volleinspeisung,Bayernwerk Netz GmbH (SNB940352624434),Hochspannung
SEE902745894848,Aufkirchen E F1,Bayern,Wasser,9,9,Volleinspeisung,"DB Energie GmbH (Bahnstromnetz 16,7 Hz) (SNB942182027607)",Hochspannung
